0000	Ausgabe Ende
032C	Loeseschalter fuer Magnetspule fuer Bremsdruck -F84
032D	Geber 2 fuer Bremsdruck-G214
032E	Magnetspule fuer Bremsdruck-N247
032F	Schalter fuer Bremserkennung-F238
0330	Sensor fuer Lenkhilfe-G250
0331	Lenkhilfetemperaturschutz
0332	Geber fuer Ausstroemtemperatur Verdampfer
0333	Hochdruckgeber -G65
0334	Schalter fuer Bremserkennung-F83
0335	Antenne 2 fuer Radio
0336	Verbindung vom DSP zum Radio
0337	Line-Ausgang vorne links
0338	Kontrollampe fuer ASR-K86
0339	beheizbarer Fahrersitz
033A	beheizbarer Beifahrersitz
033B	Relais fuer Luefter fuer Kuehlmittel
033C	Relais fuer 3-te Stufe fuer Luefter fuer Kuehlmittel
033D	Steuergeraet fuer Heizung
033E	Steuergeraet fuer Verdeckbetaetigung
033F	Steuergeraet fuer Luefter fuer Kuehlmittel,Stufe 1+2
0340	Bedienungs-und Anzeigeeinheit
0341	Signal fuer Ansteuerung beheizbare Frontscheibe
0342	Signal fuer Ansteuerung beheizbare Heckscheibe
0343	Verbindung zum Steuergeraet fuer Verdeckbetaetigung
0344	Ventil 1 fuer Gangwahl-N284
0345	Ventil 2 fuer Gangwahl-N285
0346	Ventil 3 fuer Gangwahl-N286
0347	Ventil 4 fuer Gangwahl-N287
0348	Relais fuer Hydraulikpumpe Getriebe-J510
0349	Geber fuer Hydraulikdruck Getriebe-G270
034A	Steuergeraet fuer elektronisches Schaltgetriebe
034B	Potentiometer fuer Waehlhebel Vor/Zurueck
034C	Schalter fuer Gassenerkennung Waehlhebel
034D	Schalter fuer N-Erkennung Waehlhebel-F258
034E	Schalter Stop-Erkennung Waehlhebel-F259
034F	Relais fuer Verbraucherabschaltung-J511
0350	Schalter fuer Start/Stop Betrieb
0351	S-Kontakt am Zuendanlasschalter-D
0352	Steuerausgang Aktivverstaerker, am Radio
0353	Lautsprecher
0354	Lautsprecher vorn
0355	Lautsprecher hinten
0356	Ausgang Radiodisplay Schalttafeleinsatz
0357	Verbindung zum CD-Wechsler
0358	Antenne, am Radio
0359	CD-Wechsler-R41
035A	Verbindung ZF-Ausgang Radio zum Antennenverstaerker
035B	Line-Ausgang vorne rechts
035C	Line-Ausgang hinten links
035D	Verbindung zum Rechner fuer Navigation
035E	Antenne fuer Navigation (GPS)-R50/R52
035F	Antenne 1 fuer TV-R55
0360	Antenne 2 fuer TV-R56
0361	Antenne 3 fuer TV-R57
0362	Antenne 4 fuer TV-R58
0363	Verbindung zum ABS-Steuergeraet
0364	Drehwinkelsensor-G208
0365	Line-Ausgang hinten rechts
0366	Tieftonlautsprecher vorn links-R21
0367	Tieftonlautsprecher vorn rechts-R23
0368	Tieftonlautsprecher hinten links-R15
0369	Tieftonlautsprecher hinten rechts-R17
036A	Hochtonlautsprecher vorn links-R20
036B	Hochtonlautsprecher vorn rechts-R22
036C	Hochtonlautsprecher hinten links-R14
036D	Hochtonlautsprecher vorn rechts-R16
036E	Verbindungen zu Lautsprechern vorn links
036F	Verbindungen zu Lautsprechern vorn rechts
0370	Verbindungen zu Lautsprechern hinten links
0371	Verbindungen zu Lautsprechern hinten rechts
0372	Bedienungseinheit fuer Programmwahl-E200
0373	Zuendanlassschalter -D (Klemme S)
0374	Zuendanlassschalter -D (Klemme X)
0375	Zuendanlassschalter -D (Klemme 50)
0376	Blinkerschalter -E2
0377	Taster fuer Warnlicht -E229
0378	Scheibenwischerschalter fuer Intervallbetrieb-E22
0379	Signalhornbetaetigung-H
037A	Taster fuer beheizbare Heckscheibe-E230
037B	Taster Fernentriegelung,Heckklappe-E233
037C	Taster fuer Entriegelung Heckklappenschliesszylinder-F248
037D	Taster fuer Entriegelung Heckklappengriff-E234
037E	Taster fuer Heizung Aussenspiegel-E231
037F	GRA/ADR Bedienteil-E45
0380	Schliesseinheit Heckklappe
0381	Scheibenwaschpumpe-V5
0382	Ansteuerung Klimakompressor
0383	Sicherung fuer Wischermotor-S128
0384	Sicherung fuer Signalhorn/Doppeltonhorn-S194
0385	Rueckfahrleuchten
0386	Sicherung fuer Fernentriegel., Heckklappe-S195
0387	Sicherung fuer Heizung, Aussenspiegel-S196
0388	Sicherung fuer Magnet fuer Waehlhebelsperre-S197
0389	Sicherung fuer Rueckfahrleuchten-S40
038A	Signalhorn/Doppeltonhorn-H1
038B	Eingriff Lastmanagement
038C	Steuergeraet fuer Wischermotor
038D	Scheibenwischermotor-V (Stufe 1/2)
038E	Kontrollampe fuer Warnblinkanlage-K6
038F	Kontrollampe beheizbare Heckscheibe-K10
0390	Schalter fuer Fensterheber vorn links-E40
0391	Schalter fuer Fensterheber vorn rechts,Fahrer-E81
0392	Schalter fuer Fensterheber hinten links,Fahrer-E53
0393	Schalter fuer Fensterheber hinten rechts,Fahrer-E55
0394	Sperrschalter fuer Fensterheber hinten-E39
0395	Regler fuer Scheibenwischer-Intervallschaltung
0396	Klemme 31
0397	Motor fuer Heckscheibenwischer-V12
0398	beheizbare Aussenspiegel (Z4/Z5)
0399	Kontrollampe fuer beheizbaren Aussenspiegel-K153
039A	Scheibenwischerschalter fuer Intervallbetrieb-E22(Stufe1)
039B	Scheibenwischerschalter fuer Intervallbetrieb-E22(Stufe2)
039C	Relais Scheinwerferreinigungsanlage-J39
039D	Sicherung (30) fuer Innenleuchten-S261
039E	Klemme 30
039F	Klemme 30 rechts
03A0	Schliesseinheit fuer Zentralverriegelung\nFahrerseite-F220
03A1	Schliesseinheit fuer Zentralverriegelung\nBeifahrerseite-F221
03A2	Schliesseinheit fuer Zentralverriegelung\nhinten links-F222
03A3	Schliesseinheit fuer Zentralverriegelung\nhinten rechts-F223
03A4	Motor Fensterheber Fahrerseite-V147
03A5	Motor Fensterheber Beifahrerseite-V148
03A6	Motor Fensterheber hinten links-V26
03A7	Motor Fensterheber hinten rechts-V27
03A8	Schalter Fensterheber Beifahrerseite-E107
03A9	Schalter Fensterheber hinten links-E52
03AA	Schalter Fensterheber hinten rechts-E54
03AB	Motor Spiegelverstellung Fahrerseite-V149
03AC	Motor Spiegelverstellung Beifahrerseite-V150
03AD	Motor Spiegelanklappung Fahrerseite-V121
03AE	Motor Spiegelanklappung Beifahrerseite-V122
03AF	beheizbarer Aussenspiegel FS-Z4
03B0	beheizbarer Aussenspiegel BFS-Z5
03B1	Crashsensor fuer Frontairbag-G190
03B2	Innenleuchte-W
03B3	Schalter Fernentriegelung Heckklappe-E188
03B4	Signal Schiebedach schliessen
03B5	Motor fuer Zentralverriegelung\nHeckklappe-V53,LOCK
03B6	Motor fuer Zentralverriegelung\nHeckklappe-V53,UNLOCK
03B7	Relais fuer Motor Fernentriegelung\nHeckklappe-J398
03B8	Signal Fahrertuer offen
03B9	Zeitbegrenzung Innenlicht
03BA	Sperrelais fuer Anlasser-J433
03BB	Schluessel 1
03BC	Schluessel 2
03BD	Schluessel 3
03BE	Schluessel 4
03BF	Kontrollampe Zentralverriegelung Safe-K133
03C0	Schalter Zentralverriegelung Fahrerseite-F59
03C1	Schalter Zentralverriegelung Beifahrerseite-F114
03C2	Alarm durch Neigungssensor
03C3	Signalleitung zum Neigungssensor
03C4	Signal Fahrertuer offen; Plus
03C5	Sicherung fuer Alarmhorn-S158
03C6	Sicherung fuer Blinkleuchten-S151
03C7	Blinkleuchten links
03C8	Blinkleuchten rechts
03C9	Sicherung fuer beheizbare Heckscheibe-S41
03CA	
03CB	Relais fuer beheizbare Frontscheibe links-J410
03CC	Relais fuer beheizbare Frontscheibe rechts-J411
03CD	Schalter fuer beheizbare Heckscheibe-E15
03CE	Schalter fuer beheizbare Frontscheibe-E180
03CF	beheizbare Heckscheibe-Z1
03D0	Kontrollampe fuer beheizbare Frontscheibe-K122
03D1	Abblendlicht links + rechts
03D2	Lampe fuer Abblendlichtscheinwerfer links-M29
03D3	Lampe fuer Abblendlichtscheinwerfer rechts-M31
03D4	Sicherung fuer Abblendlicht links-S152
03D5	Sicherung fuer Abblendlicht rechts-S153
03D6	Sicherung fuer Standlicht links-S154
03D7	Sicherung fuer Standlicht rechts-S155
03D8	Lampe fuer Schlusslicht links-M4
03D9	Lampe fuer Schlusslicht rechts-M2
03DA	Sicherung fuer Bremsleuchten-S156
03DB	Lampe fuer Bremslicht links-M9
03DC	Lampe fuer Bremslicht rechts-M10
03DD	Sicherung fuer Verbraucherabschaltung-S157
03DE	Verbraucherabschaltung
03DF	Innenbeleuchtung
03E0	Verbraucherabschaltung aktiv
03E1	Verbraucherabschaltung inaktiv
03E2	Geber vordere Hoehenverstellung Fahrersitz-G215
03E3	Geber hintere Hoehenverstellung Fahrersitz-G216
03E4	Geber Hoehenverstellung Kopfstuetze Fahrersitz-G217
03E5	Motor fuer Laengsverstellung Fahrersitz-V28
03E6	Motor fuer Lehnenverstellung Fahrersitz-V45
03E7	Motor vordere Hoehenverstellung Fahrersitz-V29
03E8	Motor hintere Hoehenverstellung Fahrersitz-V30
03E9	Motor Kopfstuetzenverstellung Fahrersitz-V103
03EA	Taster vordere Hoehenverstellung auf,Fahrersitz-E208
03EB	Taster vordere Hoehenverstellung ab,Fahrersitz-E209
03EC	Taster hintere Hoehenverstellung auf,Fahrersitz-E210
03ED	Taster hintere Hoehenverstellung ab,Fahrersitz-E211
03EE	Taster Laengsverstellung vor,Fahrersitz-E212
03EF	Taster Laengsverstellung zurueck,Fahrersitz-E213
03F0	Hinweis:Notausschalter betaetigt!
03F1	Geber Laengsverstellung,Fahrersitz-G218
03F2	Geber Lehnenverstellung,Fahrersitz-G219
03F3	Taster Kopfstuetzenverstellung auf,Fahrersitz-E214
03F4	Taster Kopfstuetzenverstellung ab,Fahrersitz-E215
03F5	Klimakompressor Lastsignal
03F6	Endstufe fuer Luefterthermostat
03F7	Kuehlerlueftersteuerung
03F8	Luftablassventil Gasfederdaempfung-N106
03F9	Kompressor fuer Gasfederdaempfung-V65
03FA	Luefter fuer Kuehlmittel-V7
03FB	Relais
03FC	Wasserpumpe-V36
03FD	Kontrollampe fuer Differentialsperre-K81
03FE	Innenleuchte, Kombibild aktiviert
03FF	Summer/Gong-H3
0400	Regensensor -G213
0401	Ansteuerung Fehlerlampe defekt
0402	Geblaese fuer Verdampfer hinten-V20
0403	Warmluftgeblaese hinten-V47
0404	Relais fuer Geblaese-J323
0405	Relais fuer Klimaanlage-J32
0406	Schluesseltaster Zentralverriegelung\nFahrerseite,verriegeln
0407	Schluesseltaster Zentralverriegelung\nFahrerseite,entriegeln
0408	Schluesseltaster Zentralverriegelung\nBeifahrerseite,verriegeln
0409	Schluesseltaster Zentralverriegelung\nBeifahrerseite,entriegeln
040A	Fensterheber Thermoschutz aktiv,Fahrer
040B	Fensterheber Thermoschutz aktiv,Beifahrer
040C	Fensterheber Thermoschutz aktiv,hinten links
040D	Fensterheber Thermoschutz aktiv,hinten rechts
040E	Zentralverriegelung Thermoschutz
040F	Geber fuer Kuehlmitteltemperaturanzeige-G2
0410	ABS/Getriebe elektrische Verbindung 2
0411	ASR-Funktion unplausibel
0412	Steuergeraet nicht codiert
0413	Steuergeraet: falsche Softwareversion
0414	Steuergeraet falsch codiert
0415	Schalter fuer Tiptronic-F189
0416	Kontrollampe fuer Bremsbelag-K32
0417	Kontrollampe fuer Zweikreis-und Handbremsanlage-K7
0418	Kontrollampe fuer Dieselelektronik-K104
0419	Bordspannung Klemme 50
041A	Gluehkerzenueberwachung
041B	Stellmotor Kraftstoffmengenregelung-V117
041C	Potentiometer fuer Lastsignal-G157
041D	Ventil fuer Einspritzbeginn-N182
041E	Relais fuer Spannungsversorgung Klemme 30-J317
041F	Geber fuer Kraftstoffoerderbeginn-G158
0420	Funktion:Ausgleichsladung
0421	Funktion:Spannungs-Konstantladung
0422	Funktion:Strom-Konstantladung
0423	Geber fuer Rotorlage-G159
0424	Geber fuer Wicklungstemperatur Nutgrund-G160
0425	Geber fuer Wicklungstemperatur Wickelkopf-G161
0426	Signal fuer Batteriestromreduzierung
0427	Schalter fuer E-Erkennung Waehlhebel-F271
0428	Klemme 58d - Dimmung Innenlicht
0429	Verbindung RNS zum TV-Antennenverstaerker
042A	 
042B	Ventil fuer Abschaltung 2. Waermetauscher-N317
042C	Relais fuer Hydraulikpumpe Kupplungssteller -J498
042D	Drucksystem Bremskraftverstaerker
042E	Relais fuer Anlasser-J53
042F	Geber fuer Kupplungsweg-G162
0430	Unterdruckventil fuer Kupplungssteller-N183
0431	Drucksystem Kupplung
0432	Belueftungsventil fuer Kupplungssteller-N184
0433	Relais fuer Unterdruckpumpe-J318
0434	Relais fuer Hydraulikpumpe Kupplung-J319
0435	Unterdruckschalter Bremskraftverstaerker-F190
0436	Schalter fuer Gangbetaetigung-F191
0437	Relais fuer Lenkungshydraulik-J320
0438	Schalter Servolenkungsunterstuetzung-F192
0439	Vorrangschaltventil-N185
043A	Kontrollampe fuer Kraftstoffreserve-K105
043B	Kontrollampe fuer Waschwassermangel-K106
043C	Kontrollampe fuer Temperatur-Warnung 0°C-K107
043D	Kontrollampe fuer Temperatur-Warnung 4°C-K108
043E	Geber fuer Geschwindigkeitsmesser-G22
043F	Grundeinstellung nicht durchgefuehrt
0440	Gemischanpassung 2
0441	Schalter fuer Spannbuegel abgelegt-F204
0442	Schalter fuer Spannbuegel angehoben-F203
0443	Schalter fuer Verdeck vorn-F202
0444	Schalter fuer Verdeck abgelegt-F171
0445	Schalter fuer Verdeckkastendeckel oben-F201
0446	Schalter 3 Verdeckkastendeckel links-F195
0447	Schalter 2 Verdeckkastendeckel links-F197
0448	Schalter 1 Verdeckkastendeckel links-F199
0449	Schalter fuer Verdeck verriegelt-F172
044A	Schalter fuer Heckklappe zu-F206
044B	Schalter fuer Kofferraum verriegelt
044C	Schalter fuer Kofferraum entriegelt
044D	Schalter fuer Entriegelungssperre-F205
044E	Schalter 3 Verdeckkastendeckel rechts-F196
044F	Schalter 2 Verdeckkastendeckel rechts-F198
0450	Schalter 1 Verdeckkastendeckel rechts-F200
0451	Magnetventil 8-N186
0452	Relais fuer Fensterheber absenken-J291
0453	Kontrolleuchte fuer Verdeck-K98
0454	Relais fuer Fensterheber anheben-J292
0455	Relais fuer Hydraulikpumpe-J321
0456	Magnet fuer Entriegelungssperre-N187
0457	Stellmotor 1 fuer Kofferraumschloss
0458	Stromversorgung fuer Stellmotor 1 und 2
0459	Stellmotor 2 fuer Kofferraumschloss
045A	Schalter fuer Handbremskontrolle-F9
045B	Keine Anzeige im Display
045C	Stellmotor fuer Verdeckentriegelung
045D	Belastungssignal fuer Generatorklemme DF
045E	Motorvorwaermung
045F	Signal fuer Gangerkennung
0460	Nockenwellenverstellung 1
0461	Nockenwellenverstellung 2
0462	Hallgeber 2-G163
0463	Ansteuerung fehlerhaft
0464	Ladezeitueberwachung
0465	Saugrohrumschaltung
0466	Signal fuer Motordrehzahl
0467	Kontrollampe fuer Kraftstoffreserve-K16
0468	Lesespule fuer Wegfahrsicherung-D2
0469	S-Kontakt
046A	ABS-Betrieb
046B	Ansteuerung Blinkleuchten
046C	Infrarotsensor vorn-G166
046D	Infrarotsensor hinten-G167
046E	Alarmhorn-H12
046F	Sensoren fuer Innenraumueberwachung
0470	Anlasser Startunterbrechung
0471	Schalter fuer Zentralverriegelung;\nVerriegelungskontakte
0472	Schalter fuer Zentralverriegelung;\nFahrertuer Entriegelung
0473	Schalter fuer Zentralverriegelung;\nBeifahretuer Entriegelung
0474	Schalter fuer Zentralverriegelung;\nHeckklappe Entriegelung
0475	Schalter fuer Heckklappenentriegelung-E165
0476	Motoren fuer Zentralverriegelung;\nFahrertuer und Tankventil zu
0477	Motoren fuer Zentralverriegelung;\nFahrertuer und Tankventil auf
0478	Motor fuer Zentralverriegelung;\nBeifahrertuer oeffnen
0479	Motoren fuer Zentralverriegelung;\nhintere Tueren oeffnen
047A	Motoren fuer Zentralverriegelung;\nBeifahrer-und hintere Tueren zu
047B	Motor fuer Heckklappenverriegelung-V120
047C	Aktivierung der Safe Sicherung Tueren
047D	Deaktivierung der Safe Sicherung Tueren
047E	Analoganzeigen
047F	Sperrschalter fuer Dieselmotor-F207
0480	Schalter fuer Gangueberwachung-F209
0481	Schalter fuer Ecomatic-E163
0482	Druckschalter fuer Kupplungssystem-F210
0483	Kupplung
0484	Schalter fuer Gangerkennung-F208
0485	Versorgungsspannung fuer Alarmhorn
0486	Versorgungsspannung fuer Blinkleuchten
0487	Leitungen fuer Safe Sicherung
0488	Relais fuer Gluehkerzen-Kuehlmittel-J325
0489	Endstufe Nockenwellensteuerungsventil
048A	Verbrennungsaussetzer
048B	Zuenddurchschlag
048C	ESP-Betrieb
048D	Drosselklappensteuereinheit-J338
048E	Signal fuer Motormoment
048F	Ventil fuer Vollastanschlag-N194
0490	Ventil fuer Leerlaufdrehzahlanhebung-N177
0491	Tuerkontaktschalter Fahrerseite-F2
0492	Geber fuer Einspritzdauer-G175
0493	Temperaturfuehler Beifahrersitz-G60
0494	Temperaturfuehler Fahrersitz-G59
0495	Motor fuer Laengsverstellung Fahrersitz-V28
0496	Motor fuer Hoehenverstellung Fahrersitz-V138
0497	Einsteller fuer beheizbaren Fahrersitz-E94
0498	Schluessel
0499	Motorsteuergeraet
049A	
049B	Schluesselprogrammierung falsch
049C	Motor/Klimakompressorabschaltung\nelektrische Verbindung
049D	Initialisierung: nur 2 Schluessel gelernt
049E	Hoehenadaption
049F	Kontrollampe fuer Katalysator-K72
04A0	Geber fuer Ausstroemtemperatur hinten-G174
04A1	Frischluftgeblaese hinten-V80
04A2	Stellmotor fuer Luftverteilung hinten-V136
04A3	Stellmotor fuer Temperaturklappe hinten-V137
04A4	Steuergeraet/Magnetkupplung-elektrische Verbindung
04A5	Stellmotor fuer Luftverteilung vorn-V145
04A6	Steuergeraet/Stellmotoren-elektrische Verbindung
04A7	Motoren fuer Sitzverstellung
04A8	Kupplung fuer Wandlerueberbrueckung
04A9	Relais fuer kleine Heizleistung-J359
04AA	Relais fuer grosse Heizleistung-J360
04AB	ENDE
04AC	Motor/Getriebe - Datenbus
04AD	Datenbus Antrieb falscher Softwarestand
04AE	Datenbus Komfort falscher Softwarestand
04AF	Motor/ABS - elektrische Verbindung
04B0	Versorgungsspannung fuer ABS-Ventile
04B1	Versorgungsspannung fuer ABS-Pumpe
04B2	Diagnoseleitung
04B3	ABS/Schalttafeleinsatz elektrische Verbindung
04B4	Geber fuer Motortemperatur-G27
04B5	Relais fuer Climatronic-J254
04B6	Signal fuer Zeitspanne Zuendung aus
04B7	Steuergeraet fuer Zusatzheizung
04B8	Datensaetze im Steuergeraet veraendert
04B9	Drehzahlsignal Generatorklemme W
04BA	Steuergeraet lernt Verstellbereich
04BB	Zuender fuer Gurtstraffer hinten,Fahrerseite-N196
04BC	Zuender fuer Gurtstraffer hinten,Beifahrerseite-N197
04BD	Zuender fuer Gurtstraffer hinten Mitte-N198
04BE	Crashdaten Gurtstraffer gespeichert
04BF	Sitzbelegungssensor hinten,Fahrerseite-G177
04C0	Sitzbelegungssensor hinten,Beifahrerseite-G178
04C1	Zuender Seitenairbag Fahrerseite-N199
04C2	Zuender Seitenairbag Beifahrerseite-N200
04C3	Zuender Seitenairbag hinten,Fahrerseite-N201
04C4	Zuender Seitenairbag hinten,Beifahrerseite-N202
04C5	Crashsensor Seitenairbag\nFahrerseite-G179
04C6	Crashsensor Seitenairbag\nBeifahrerseite-G180
04C7	Signal Zentralverriegelung oeffnen
04C8	Steuergeraet passt nicht zum Fahrzeug
04C9	Funkempfaenger Standheizung-R64
04CA	Crashdaten Seitenairbag gespeichert,Fahrerseite
04CB	Crashdaten Seitenairbag gespeichert,Beifahrerseite
04CC	Schluesselschalter Abschaltung Airbag, Beifahrerseite-E224
04CD	Geber fuer Luftfeuchtigkeit,Klimaanlage-G260
04CE	Geber fuer Ausstroemtemperatur Fussraum links-G261
04CF	Geber fuer Ausstroemtemperatur Fussraum rechts-G262
04D0	Regelventil fuer Kompressor,Klima-N280
04D1	Absperrventil fuer Kuehlmittel ,Heizung-N279
04D2	Steuergeraet fuer beheizbare Frontscheibe-J505
04D3	Sekundaerlufteinblasventil-N112
04D4	Magnet fuer Waehlhebelsperre-N110
04D5	Kraftstoffabschaltventil-N109
04D6	Zuendwinkelverstellung
04D7	Belueftungsventil Drosselklappensteller-N97
04D8	Entlueftungsventil Drosselklappensteller-N117
04D9	Magnetventil 2 fuer Aktivkohlebehaelter-N115
04DA	Endstufen im Steuergeraet
04DB	Ventil Registersaugrohrumschaltung-N156
04DC	Steuergeraet Lambda-Sondenheizung-J208
04DD	Drucksteller-N73
04DE	Relais fuer Ansaugrohrvorwaermung-J81
04DF	Magnetventil 1 fuer Aktivkohlebehaelter-N80
04E0	Zweiwegeventil-Vollastanreicherung-N54
04E1	Einspritzventil Zylinder 1-N30
04E2	Einspritzventil Zylinder 2-N31
04E3	Einspritzventil Zylinder 3-N32
04E4	Einspritzventil Zylinder 4-N33
04E5	Einspritzventil Zylinder 5-N83
04E6	Einspritzventil Zylinder 6-N84
04E7	Einspritzventil Zylinder 7-N85
04E8	Einspritzventil Zylinder 8-N86
04E9	Ventil fuer Leerlaufstabilisierung-N71
04EA	Luftklappensteller-V63
04EB	Kraftstoffpumpenrelais-J17
04EC	Ventil fuer Schubabschaltung-N65
04ED	Taktventil fuer Lambdaregelung-N7
04EE	Magnetventil Ladedruckbegrenzung-N75
04EF	Kaltstartventil-N17
04F0	Relais fuer Sekundaerluftpumpe-J299
04F1	Ventil fuer Abgasrueckfuehrung-N18
04F2	Relais fuer Gluehkerzen-J52
04F3	Steuergeraet fuer Gluehzeitautomatik-J179
04F4	Mengensteller-N146
04F5	Ventil fuer Einspritzbeginn-N108
04F6	Magnetkupplung fuer Klimaanlage-N25
04F7	Stellmotor fuer Temperaturklappe-V68
04F8	Stellmotor fuer Zentralklappe-V70
04F9	Frischluftgeblaese-V2
04FA	Stellmotor fuer Staudruckklappe-V71
04FB	Schluesselschalter Abschaltung Seitenairbags hinten-E280
04FC	Hydraulikpumpe ABS-V64
04FD	Relais fuer Hydraulikpumpe ABS-J185
04FE	Abschaltrelais fuer EDS-J263
04FF	Geber fuer Laengsbeschleunigung -G251   
0500	Airbag Beifahrerseite abgeschaltet
0501	Airbag Fahrerseite abgeschaltet
0502	Umschaltventil fuer Saugrohrklappe-N239
0503	Motor fuer Saugrohrklappe-V157
0504	Seitenairbag Fahrerseite abgeschaltet
0505	Seitenairbag Beifahrerseite abgeschaltet
0506	Gurtstraffer FAhrerseite abgeschaltet
0507	Gurtstraffer Beifahrerseite abgeschaltet
0508	Klemme 30 Lenkhilfe
0509	Klemme 15 Lenkhilfe
050A	Referenzspannung Lenkhilfe
050B	Schluesselsch. Abschaltung Seitenairbag hinten, Fahrerseite-E295
050C	Schluesselsch. Abschaltung Seitenairbag hinten, Beifahrers.-E296
050D	Kontrollampe fuer Seitenairbag aus, hinten Fahrerseite-K167
050E	Kontrollampe fuer Seitenairbag aus, hinten Beifahrerseite-K168
050F	Steuergeraet im Schalttafeleinsatz falsch kodiert
0510	Geber fuer Ausstroemtemperatur Mitte-G191
0511	Geber fuer Ausstroemtemperatur Fussraum-G192
0512	Kontrollampentest Kombiinstrument
0513	Diagnose-Interface fuer Datenbus-J533
0514	Steuergeraet fuer Navigation mit CD Laufwerk-J401
0515	Steuergeraet fuer Spracheingabe-J507
0516	Steuergeraet fuer Telematik-J499
0517	Sende- und Empfangsgeraet fuer Telefon
0518	Radio
0519	Datenbus Infotainment
051A	schneller Datenbus Display
051B	LWL-Datenbus Display
051C	Steuergeraet fuer Dachelektronik-J528
051D	Steuergeraet fuer Lenkhilfe-J500
051E	Steuergeraet fuer Niveauregelung-J197
051F	Daten-BUS Information
0520	Daten-BUS Antrieb
0521	Daten-BUS Antrieb im Notlauf
0522	Motorsteuergeraet
0523	Getriebesteuergeraet
0524	Bremsensteuergeraet
0525	Steuergeraet im Schalttafeleinsatz-J285
0526	Steuergeraet fuer Einspritzpumpe-J399
0527	Steuergeraet fuer Abstandsregelung-J428
0528	Steuergeraet fuer Climatronic-J255
0529	Steuergeraet fuer Airbag-J234
052A	Steuergeraet fuer Multifunktionseinheit
052B	Steuergeraet fuer automatische Kupplung
052C	Steuergeraet fuer Allradantrieb
052D	Steuergeraet fuer Reifendruckueberwachung
052E	Steuergeraet fuer Multifunktionslenkrad
052F	Steuergeraet fuer Einparkhilfe
0530	Daten-BUS Komfort
0531	Daten-BUS Komfort im Notlauf
0532	Zentralsteuergeraet f.Komfortsystem -J393
0533	Tuersteuergeraet Fahrerseite-J386
0534	Tuersteuergeraet Beifahrerseite-J387
0535	Tuersteuergeraet hinten links-J388
0536	Tuersteuergeraet hinten rechts-J389
0537	Steuergeraet fuer Sitz-/Spiegelposition Fahrer-J543
0538	Konzern-Datenbus Komfort
0539	Tuerinnengriffbeleuchtung
053A	Signal Tueren nicht geschlossen
053B	Ausstiegswarnleuchte
053C	Spiegelverstellschalter
053D	Steuergeraet im Schalttafeleinsatz am Komfort CAN-J285
053E	Motorsteuergeraet 2 (Slave 1)
053F	Motorsteuergeraet 3 (Slave 2)
0540	Gasentladungslampe
0541	Zuendmodul fuer Gasentladungslampe
0542	Leitung zum Zuendmodul
0543	Leitung zur Gasentladungslampe
0544	Kontrollampe fuer Innenraumueberwachungsabschaltung-K162
0545	Alarm durch Sensor fuer Diebstahlwarnanlage vorne
0546	Alarm durch Sensor fuer Diebstahlwarnanlage hinten
0547	Leitung fuer Kommunikation auf Masse
0548	Leitung fuer Taktsignal vorne, 5V Pegel
0549	Leitung fuer Taktsignal hinten, 5V Pegel
054A	Freigabesignal Wegfahrsperre
054B	Signal;alle Fenster oeffnen
054C	Signal;alle Fenster und Schiebedach schliessen
054D	Motor fuer Tankdeckelverriegelung-V155
054E	Schalter fuer Innenverriegelung,Fahrerseite-E150
054F	Schalter fuer Innenverriegelung,Beifahrerseite-E198
0550	Schalter fuer Diebstahlwarnanlage oeffnen
0551	Schalter fuer Diebstahlwarnanlage schliessen
0552	Schalter fuer Heckklappe schliessen-F124
0553	Schalter fuer Zentralverriegelung; Fahrertuer-F59
0554	Schalter fuer Zentralverriegelung; Beifahrertuer-F114
0555	Lock/Unlock Schalter/Verriegelungstaster innen
0556	oeffnung durch Crash-Signal
0557	Abschaltung der Pumpe fuer Zentralverriegelung
0558	Alarm durch Schalter Kofferraum
0559	Alarm durch Schalter Motorhaube
055A	Alarm durch Innenraumueberwachung
055B	Alarm durch Tuerkontaktschalter Fahrerseite
055C	Alarm durch Tuerkontaktschalter hinten/Beifahrerseite
055D	Alarm durch Massekontakt Radio
055E	Alarm durch Klemme 15
055F	Ventile fuer Motorlagerung Stufe 1
0560	Drehzahlsignal fuer Einspritzpumpe
0561	Ultraschallsensor links fuer Diebstahlwarnanlage-G170
0562	Ultraschallsensor rechts fuer Diebstahlwarnanlage-G171
0563	Schalter fuer Innenraumueberwachung-E183
0564	Alarm durch Sensor fuer Diebstahlwarnanlage hinten links
0565	Alarm durch Sensor fuer Diebstahlwarnanlage hinten rechts
0566	Alarm durch Sensor fuer Diebstahlwarnanlage vorn links
0567	Alarm durch Sensor fuer Diebstahlwarnanlage vorn rechts
0568	Alarm durch Glasbruchsensoren
0569	Kontrollampe fuer Alarmanlage-K95
056A	Alarmausloesung erzeugen
056B	Leitung fuer Spannungsversorgung
056C	Leitung fuer Taktsignal
056D	Schalter fuer Heckklappe oeffnen-F124
056E	Innenraumueberwachung aktivieren
056F	Crashsignal simulieren
0570	naechstes Stellglied: --> betaetigen
0571	Geber fuer Niveauregelung-G84
0572	Kontrollampe fuer Niveauregelung-K134
0573	Motor fuer Kompressor-Niveauregelung-V66
0574	Ventile fuer Federbeine h-N150/151
0575	Ablassmagnetventil Niveauregelung-N111
